spring_boot,spring_data_neo4j,neo4j_ogm,neo4j_java_driver,minimum_java_version,release_date,end_of_oss_support,end_of_commercial_support
2.6.14,6.2.10,,4.4.9,8,2022-11-24,2022-11-24,2023-05-18
2.6.13,6.2.9,,4.4.9,8,2022-10-20,2022-11-24,2022-11-24
2.6.12,6.2.7,,4.4.9,8,2022-09-22,2022-10-20,2022-10-20
2.6.11,6.2.6,,4.4.9,8,2022-08-18,2022-09-22,2022-09-22
2.6.10,6.2.6,,4.4.9,8,2022-07-21,2022-08-18,2022-08-18
2.6.9,6.2.5,,4.4.6,8,2022-06-23,2022-07-21,2022-07-21
2.6.8,6.2.4,,4.4.5,8,2022-05-19,2022-06-23,2022-06-23
2.6.7,6.2.4,,4.4.5,8,2022-04-21,2022-05-19,2022-05-19
2.6.6,6.2.3,,4.4.5,8,2022-03-31,2022-04-21,2022-04-21
2.6.5,6.2.3,,4.4.5,8,2022-03-24,2022-03-31,2022-03-31
2.6.4,6.2.2,,4.4.3,8,2022-02-24,2022-03-24,2022-03-24
2.6.3,6.2.1,,4.4.2,8,2022-01-20,2022-02-24,2022-02-24
2.6.2,6.2.0,,4.3.6,8,2021-12-21,2022-01-20,2022-01-20
2.6.1,6.2.0,,4.3.6,8,2021-11-29,2021-12-21,2021-12-21
2.6.0,6.2.0,,4.3.6,8,2021-11-19,2021-11-29,2021-11-29
2.5.15,6.1.12,,4.2.9,8,2023-05-18,2022-05-19,2023-08-24
2.5.14,6.1.11,,4.2.9,8,2022-05-19,2022-05-19,2023-05-18
2.5.13,6.1.11,,4.2.9,8,2022-04-21,2022-05-19,2022-05-19
2.5.12,6.1.10,,4.2.9,8,2022-03-31,2022-04-21,2022-04-21
2.5.11,6.1.10,,4.2.9,8,2022-03-24,2022-03-31,2022-03-31
2.5.10,6.1.9,,4.2.9,8,2022-02-24,2022-03-24,2022-03-24
2.5.9,6.1.8,,4.2.8,8,2022-01-20,2022-02-24,2022-02-24
2.5.8,6.1.7,,4.2.8,8,2021-12-21,2022-01-20,2022-01-20
2.5.7,6.1.7,,4.2.8,8,2021-11-18,2021-12-21,2021-12-21
2.5.6,6.1.6,,4.2.7,8,2021-10-21,2021-11-18,2021-11-18
2.5.5,6.1.5,,4.2.7,8,2021-09-23,2021-10-21,2021-10-21
2.5.4,6.1.4,,4.2.7,8,2021-08-19,2021-09-23,2021-09-23
2.5.3,6.1.3,,4.2.7,8,2021-07-22,2021-08-19,2021-08-19
2.5.2,6.1.2,,4.2.7,8,2021-06-24,2021-07-22,2021-07-22
2.5.1,6.1.1,,4.2.6,8,2021-06-10,2021-06-24,2021-06-24
2.5.0,6.1.1,,4.2.5,8,2021-05-20,2021-06-10,2021-06-10
2.4.13,6.0.15,,4.1.4,8,2021-11-18,2021-11-18,2023-02-23
2.4.12,6.0.14,,4.1.4,8,2021-10-21,2021-11-18,2021-11-18
2.4.11,6.0.13,,4.1.4,8,2021-09-23,2021-10-21,2021-10-21
2.4.10,6.0.12,,4.1.4,8,2021-08-19,2021-09-23,2021-09-23
2.4.9,6.0.11,,4.1.4,8,2021-07-22,2021-08-19,2021-08-19
2.4.8,6.0.10,,4.1.4,8,2021-06-24,2021-07-22,2021-07-22
2.4.7,6.0.9,,4.1.3,8,2021-06-10,2021-06-24,2021-06-24
2.4.6,6.0.9,,4.1.2,8,2021-05-20,2021-06-10,2021-06-10
2.4.5,6.0.8,,4.1.1,8,2021-04-15,2021-05-20,2021-05-20
2.4.4,6.0.6,,4.1.1,8,2021-03-18,2021-04-15,2021-04-15
2.4.3,6.0.5,,4.1.1,8,2021-02-18,2021-03-18,2021-03-18
2.4.2,6.0.3,,4.1.1,8,2021-01-15,2021-02-18,2021-02-18
2.4.1,6.0.2,,4.1.1,8,2020-12-11,2021-01-15,2021-01-15
2.4.0,6.0.1,,4.1.1,8,2020-11-12,2020-12-11,2020-12-11
2.3.12.RELEASE,5.3.9.RELEASE,3.2.24,4.0.3,8,2021-06-10,2021-05-20,2022-08-20
2.3.11.RELEASE,5.3.9.RELEASE,3.2.23,4.0.2,8,2021-05-20,2021-05-20,2021-06-10
2.3.10.RELEASE,5.3.9.RELEASE,3.2.21,4.0.2,8,2021-04-15,2021-05-20,2021-05-20
2.3.9.RELEASE,5.3.7.RELEASE,3.2.20,4.0.2,8,2021-02-18,2021-04-15,2021-04-15
2.3.8.RELEASE,5.3.6.RELEASE,3.2.19,4.0.2,8,2021-01-14,2021-02-18,2021-02-18
2.3.7.RELEASE,5.3.6.RELEASE,3.2.18,4.0.2,8,2020-12-11,2021-01-14,2021-01-14
