spring_boot,spring_data_neo4j,neo4j_java_driver,minimum_java_version,release_date,end_of_oss_support,end_of_commercial_support
3.4.0,7.4.0,5.25.0,17,2024-11-21,2025-11-21,2026-02-21
3.3.6,7.3.6,5.25.0,17,2024-11-21,2025-05-23,2025-08-23
